id,customer_id,order_date,sku_id,price,qty_ordered,before_discount,discount_amount,after_discount,is_gross,is_valid,is_net,payment_id
ODR00000001,CUST_03731,2024-01-11,P992760,87.5239462881062,1.0,87.5239462881062,0.0,87.5239462881062,1,1,0,4
ODR00000002,CUST_03071,2024-01-12,P420995,73.91947787786539,1.0,73.91947787786539,0.0,73.91947787786539,1,1,0,4
ODR00000003,CUST_00908,2024-01-09,P958194,97.36805751773862,1.0,97.36805751773862,0.0,97.36805751773862,1,1,0,1
ODR00000004,CUST_02852,2024-01-12,P420995,73.91947787786539,1.0,73.91947787786539,0.0,73.91947787786539,1,1,0,4
ODR00000005,CUST_00510,2024-01-12,P420995,73.91947787786539,1.0,73.91947787786539,0.0,73.91947787786539,1,1,0,4
ODR00000006,CUST_00885,2024-01-07,P934548,104.22627718956782,1.0,104.22627718956782,0.0,104.22627718956782,1,1,0,1
ODR00000007,CUST_02231,2024-01-09,P958194,97.36805751773862,1.0,97.36805751773862,0.0,97.36805751773862,1,1,0,1
ODR00000008,CUST_03669,2024-01-09,P958194,97.36805751773862,1.0,97.36805751773862,0.0,97.36805751773862,1,1,0,1
ODR00000009,CUST_02302,2024-01-09,P958194,97.36805751773862,1.0,97.36805751773862,0.0,97.36805751773862,1,1,0,1
ODR00000010,CUST_01399,2024-01-12,P420995,73.91947787786539,1.0,73.91947787786539,0.0,73.91947787786539,1,1,0,4
ODR00000011,CUST_01624,2024-01-11,P992760,87.5239462881062,1.0,87.5239462881062,0.0,87.5239462881062,1,1,0,4
ODR00000012,CUST_01857,2024-01-09,P958194,97.36805751773862,1.0,97.36805751773862,0.0,97.36805751773862,1,1,0,1
ODR00000013,CUST_02316,2024-01-08,P863752,73.01997804607717,1.0,73.01997804607717,0.0,73.01997804607717,1,1,0,8
ODR00000014,CUST_00956,2024-01-11,P570039,3.9003208473804256,1.0,3.9003208473804256,0.0,3.9003208473804256,1,1,0,1
ODR00000015,CUST_00393,2024-01-08,P120192,2.8925824466218466,1.0,2.8925824466218466,0.0,2.8925824466218466,1,1,0,1
ODR00000016,CUST_00737,2024-01-09,P147937,10.469282274547458,1.0,10.469282274547458,0.0,10.469282274547458,1,1,0,1
ODR00000017,CUST_03401,2024-01-08,P120192,2.8925824466218466,1.0,2.8925824466218466,0.0,2.8925824466218466,1,1,0,1
ODR00000018,CUST_01550,2024-01-08,P120192,2.8925824466218466,1.0,2.8925824466218466,0.0,2.8925824466218466,1,0,0,1
