id,sku_name,base_price,cogs,category
P313303,Samsung Microwave,17.726864942232854,15.599417207298076,Mobiles & Tablets
P751549,Samsung Smart TV,141.82984899565184,124.81026711617362,Mobiles & Tablets
P370493,Samsung Refrigerator,183.63046462267292,152.41296838584054,Mobiles & Tablets
P782682,Samsung Microwave,152.33645491467183,121.86916393173748,Mobiles & Tablets
P747668,Apple MacBook Air,179.91862817987885,156.52790018893808,Mobiles & Tablets
P709484,Apple iPad Air,438.5528225523445,280.6738064335005,Computing
P812976,Apple iPad Air,203.4119961931192,172.89991683681774,Mobiles & Tablets
P926387,Apple iPhone 16,42.92032496119732,37.3404401125526,Mobiles & Tablets
P972345,Apple MacBook Air,119.43379612990424,106.29587327557016,Mobiles & Tablets
P241542,Apple MacBook Air,90.39786691249178,59.66184568935512,Entertainment
P262382,Apple MacBook Air,177.2873112445648,122.3282447587497,Mobiles & Tablets
P671747,Apple iPad Air,156.3300848732336,136.00549427571198,Mobiles & Tablets
P277486,Apple MacBook Pro,165.73377709809006,120.98459355773826,Entertainment
P640071,Apple MacBook Air,203.4119961931192,136.28542160925602,Computing
P538399,Apple iPad Air,180.08471839778167,111.65181625737964,Mobiles & Tablets
P748886,Lenovo IdeaPad Slim,180.08471839778167,117.05441379477982,Mobiles & Tablets
P168052,Lenovo IdeaPad Slim,208.74367880602148,164.9070583730233,Mobiles & Tablets
P277058,Lenovo IdeaPad Slim,180.08471839778167,140.4656697901805,Mobiles & Tablets
P418626,Lenovo IdeaPad Slim,180.08471839778167,109.8509504115796,Mobiles & Tablets
P793709,Lenovo ThinkPad E14,126.89852502441222,83.75239201415604,Mobiles & Tablets
P426226,Lenovo ThinkPad E14,246.3360535187637,162.58179532238407,Computing
P579921,Lenovo IdeaPad Slim,279.9273335440497,176.3542201327513,Computing
P539142,Lenovo IdeaPad Slim,116.3004761764345,81.41033332350416,Mobiles & Tablets
P678370,Lenovo ThinkPad E14,147.98825033362093,99.15212772352602,Mobiles & Tablets
P669465,Lenovo ThinkPad E14,135.6341240132102,94.94388680924716,Appliances
P984532,Lenovo ThinkPad E14,893.901285117332,545.2797839215725,Appliances
P473888,Sony WH-1000XM5,270.5964224259147,162.35785345554882,Computing
P180184,Sony WH-1000XM5,174.8612743538497,143.38624497015675,Mobiles & Tablets
P192415,Sony WH-1000XM5,139.51578303835436,90.68525897493032,Mobiles & Tablets
P652031,Sony PlayStation 5,166.36827905412324,129.76684710212692,Mobiles & Tablets
P383728,Sony WH-1000XM5,134.3632539189202,95.39736908958852,Mobiles & Tablets
P551746,Sony PlayStation 5,98.22650134060704,83.49112650284826,Entertainment
P353028,Sony PlayStation 5,36.14794967165495,22.77302167492025,Mobiles & Tablets
P397123,Sony WH-1000XM5,222.0756846116128,170.99827715094182,Computing
P661542,Sony PlayStation 5,29.858915578031965,20.901240904622377,Mobiles & Tablets
P872944,Sony WH-1000XM5,457.2127786063908,397.774874783871,Entertainment
P388033,Huawei P60 Pro,63.263577380955226,55.6719480952406,Entertainment
P600326,Huawei MateBook,116.86779557241712,77.13117748472744,Mobiles & Tablets
P529158,Huawei P60 Pro,174.8612743538497,150.38069594431073,Mobiles & Tablets
P847756,Huawei MateBook,60.83754049024013,41.97790293826569,Entertainment
P197154,Huawei P60 Pro,134.36512010114384,83.30637446270919,Mobiles & Tablets
P779734,Huawei P60 Pro,182.7701546175809,131.59383949905776,Mobiles & Tablets
P272094,Huawei MateBook,99.97138171969829,67.97941986006064,Entertainment
P847388,Huawei MateBook,202.00862716095165,153.52521299112223,Mobiles & Tablets
P813488,Huawei P60 Pro,168.24192600664475,137.9575208816258,Computing
P393352,Huawei MatePad,240.7375068478827,170.92362986199674,Computing
P611114,Huawei MateBook,89.57488055187227,75.24260107441692,Entertainment
P358545,Huawei MatePad,179.71148195305628,147.36307928870588,Entertainment
P965921,Huawei MatePad,191.42737395298656,124.42769976033009,Mobiles & Tablets
P500104,Generic Product,115.70329786487386,83.30637446270919,Mobiles & Tablets
P553953,Generic Product,174.8612743538497,136.39179399600278,Mobiles & Tablets
P876996,Boat Earbuds,270.5964224259147,175.88767457684455,Entertainment
P177109,JBL Speaker,83.7915818408522,50.27494910451132,Entertainment
P754774,Generic Product,170.2648675370564,103.86050547373694,Mobiles & Tablets
P544078,HP Pavilion,203.4119961931192,146.45611472802315,Computing
P984161,Generic Product,63.4483294210943,41.24076095993303,Mobiles & Tablets
P291889,Generic Product,165.45571594676963,135.67331383990637,Mobiles & Tablets
P950932,Dell Inspiron Laptop,141.4192889064539,86.26427328715798,Computing
P572907,HP Pavilion,131.61436750351766,88.1808424308229,Computing
P334177,Generic Product,34.70912317723853,29.84958466691383,Mobiles & Tablets
P770541,Bose Soundbar,55.052375596996434,35.23352038207772,Entertainment
P240605,Asus Vivobook,79.78862097117229,67.02206837934,Computing
P592314,Generic Product,29.858915578031965,19.408295125720777,Mobiles & Tablets
P692465,Dell Inspiron Laptop,171.78207368486514,118.52869775144514,Computing
P910456,Generic Product,157.45912511852794,116.51881949659888,Mobiles & Tablets
P531159,Generic Product,125.03234280078524,102.52618518384364,Mobiles & Tablets
P957169,Bose Soundbar,140.76612512818446,105.57366075502652,Entertainment
P774890,Generic Product,23.512029835476547,15.517305189458488,Mobiles & Tablets
P316076,Bose Soundbar,616.7713587264992,462.57805249931846,Entertainment
P497003,Whirlpool Washing Machine,140.8948917016147,108.4886373883319,Appliances
P245834,LG Refrigerator,65.40968693812627,45.7867808566884,Appliances
